track_id,direction_bin,direction_label,corridor_id,corridor_rank,point_count,length_m,displacement_m,duration_min,bearing_deg,keep,drop_reason
0,5,SouthWest,,,5,23062.57,22863.78,121.0,264.39,False,dbscan_noise
1,7,SouthEast,,,3,14613.28,14564.64,68.55,349.39,False,too_few_points
2,0,East,,,4,5950.57,341.75,55.47,9.35,False,too_short
3,7,SouthEast,,,4,7743.33,1624.58,75.0,351.06,False,too_short
4,7,SouthEast,,,4,6605.92,449.83,63.45,353.01,False,too_short
5,0,East,,,4,6809.02,437.98,64.02,38.91,False,too_short
6,0,East,,,4,8105.56,1794.64,73.32,16.49,False,too_short
7,7,SouthEast,,,5,8111.44,1072.44,63.65,339.7,False,too_short
8,7,SouthEast,,,5,8265.98,489.09,68.07,351.41,False,too_short
9,0,East,,,7,40394.07,39862.51,133.23,3.44,False,dbscan_noise
10,4,West,,,4,40879.42,40420.85,132.6,184.05,False,dbscan_noise
11,0,East,,,6,40793.79,40273.94,133.05,3.02,False,dbscan_noise
12,7,SouthEast,,,2,2455.51,2455.51,8.67,324.7,False,too_few_points
13,6,South,,,6,29019.54,28246.0,60.62,276.78,False,dbscan_noise
14,2,North,D02-C03,3.0,5,16781.84,15568.73,99.6,117.72,False,non_top_corridor
15,7,SouthEast,,,2,4795.21,4795.21,10.38,333.52,False,too_few_points
16,2,North,D02-C03,3.0,5,15050.11,13641.64,83.67,119.97,False,non_top_corridor
17,6,South,D06-C02,2.0,7,43797.51,43425.41,96.43,283.97,True,
18,2,North,D02-C03,3.0,6,14641.79,13340.59,71.83,119.2,False,non_top_corridor
19,5,SouthWest,,,5,27737.85,26348.14,85.98,268.05,False,dbscan_noise
20,1,NorthEast,,,7,36235.87,33912.08,121.47,84.43,False,dbscan_noise
21,6,South,D06-C02,2.0,7,43203.02,42843.45,91.9,283.81,True,
22,2,North,D02-C03,3.0,5,19615.71,18142.05,92.82,119.11,False,non_top_corridor
23,6,South,,,3,8958.11,8428.25,22.12,312.42,False,too_few_points
24,2,North,D02-C03,3.0,5,14605.47,13293.99,64.98,121.69,False,non_top_corridor
25,7,SouthEast,,,3,4801.77,4717.19,10.5,331.76,False,too_few_points
26,2,North,,,3,5017.96,4882.55,41.18,94.24,False,too_few_points
27,2,North,D02-C03,3.0,5,14907.84,13263.25,73.68,116.73,False,non_top_corridor
28,2,North,D02-C01,1.0,9,55448.68,54094.94,130.4,100.99,True,
29,6,South,D06-C02,2.0,5,38712.27,38362.52,85.8,283.47,True,
30,1,NorthEast,,,7,38717.05,35337.06,116.38,79.46,False,dbscan_noise
31,5,SouthWest,,,4,28080.08,26817.21,70.55,267.79,False,dbscan_noise
32,1,NorthEast,,,9,43980.4,41522.64,132.73,88.6,False,dbscan_noise
33,2,North,D02-C01,1.0,10,55685.0,54099.46,159.28,101.79,True,
34,2,North,D02-C03,3.0,4,14560.56,13386.03,64.05,121.77,False,non_top_corridor
35,2,North,D02-C03,3.0,4,18251.19,17392.03,83.2,117.94,False,non_top_corridor
36,6,South,D06-C03,3.0,4,11191.47,10324.08,27.42,311.82,False,non_top_corridor
37,2,North,D02-C01,1.0,10,54683.0,52568.08,138.4,101.55,True,
38,6,South,D06-C02,2.0,6,34356.2,34056.64,73.52,283.99,True,
39,2,North,D02-C03,3.0,5,16694.42,15511.57,84.02,121.01,False,non_top_corridor
40,6,South,D06-C03,3.0,4,14465.32,13401.7,47.83,302.81,False,non_top_corridor
41,2,North,D02-C03,3.0,5,14099.03,12701.91,79.97,117.48,False,non_top_corridor
42,2,North,D02-C03,3.0,6,16077.8,13737.94,75.97,115.03,False,non_top_corridor
43,7,SouthEast,,,2,1537.27,1537.27,4.32,343.87,False,too_few_points
44,2,North,D02-C03,3.0,4,16570.07,15431.5,85.37,121.06,False,non_top_corridor
45,7,SouthEast,,,2,2053.44,2053.44,5.32,339.19,False,too_few_points
46,2,North,D02-C03,3.0,5,17127.26,15990.66,89.03,120.23,False,non_top_corridor
47,7,SouthEast,,,3,4527.62,4451.97,11.0,334.07,False,too_few_points
48,2,North,D02-C01,1.0,8,56058.17,51980.92,138.8,107.44,True,
49,2,North,,,5,28113.44,27186.68,66.53,96.14,False,dbscan_noise
50,6,South,D06-C02,2.0,8,47287.19,46226.07,115.63,279.32,True,
51,6,South,D06-C02,2.0,8,55104.73,53832.4,135.37,280.32,True,
52,2,North,D02-C03,3.0,5,14996.6,13203.83,59.35,115.6,False,non_top_corridor
53,6,South,,,6,25577.31,24717.19,54.6,273.7,False,dbscan_noise
54,6,South,D06-C02,2.0,9,54107.98,53001.68,129.5,280.43,True,
55,6,South,D06-C02,2.0,7,54614.02,53410.32,137.17,279.91,True,
56,2,North,D02-C03,3.0,4,16428.98,15113.29,88.65,119.78,False,non_top_corridor
57,6,South,D06-C03,3.0,4,10763.58,9888.68,28.15,313.4,False,non_top_corridor
58,2,North,D02-C01,1.0,7,49763.12,48861.38,125.47,101.69,True,
59,2,North,D02-C01,1.0,8,55014.02,53937.19,119.17,100.67,True,
60,6,South,,,9,40330.11,39536.39,92.5,277.4,False,dbscan_noise
61,1,NorthEast,,,6,24734.03,23919.22,73.72,74.22,False,dbscan_noise
62,7,SouthEast,D07-C02,2.0,4,9332.93,8674.94,28.37,318.32,True,
63,2,North,D02-C01,1.0,8,54295.58,53196.29,167.0,99.91,True,
64,6,South,D06-C02,2.0,8,44055.94,42985.94,116.0,278.57,True,
65,2,North,D02-C01,1.0,4,31132.47,30857.41,90.85,106.51,True,
66,6,South,D06-C02,2.0,8,54876.08,53697.15,146.55,280.26,True,
67,6,South,D06-C02,2.0,8,54611.44,53659.59,167.52,280.48,True,
68,6,South,D06-C02,2.0,7,43916.67,42840.99,112.82,278.39,True,
69,2,North,D02-C01,1.0,5,52813.2,52538.63,137.65,105.43,True,
70,6,South,D06-C02,2.0,7,55050.43,53929.14,140.63,280.5,True,
71,2,North,D02-C03,3.0,5,15199.26,13371.12,62.67,114.89,False,non_top_corridor
72,2,North,D02-C01,1.0,6,44053.51,43657.91,128.68,104.57,True,
73,6,South,D06-C02,2.0,8,48731.84,47605.59,112.98,279.42,True,
74,6,South,D06-C02,2.0,8,54913.04,53877.05,122.5,280.22,True,
